ลำดับที่,ภาษาอังกฤษ,คำทับศัพท์ภาษาไทย,หมายเหตุ
1375,Thai MOOC,ไทยมุก,
1376,Thainess,ไทยเนสส์,
1377,Thai-PAN,ไทย-แพน,
1378,Thai PBS,ไทยพีบีเอส,
1379,Thai School Lunch,ไทยสกูลลันช์,
1380,Thai startup,ไทยสตาร์ตอัป,
1381,Thai touch,ไทยทัช,
1382,Thai trend,ไทยเทรนด์,
1383,The Beach,เดอะบีช,
1384,the loser,เดอะลูสเซอร์,
1385,The Lost Decade,เดอะลอสต์เดเคด,
1386,The Nation Maker,เดอะเนชันเมกเกอร์,
1387,the right place and the right,เดอะไรต์เพลสแอนด์เดอะไรต์,
1388,thesis,ทีซิส,
1389,the winner,เดอะวินเนอร์,
1390,third party,เทิร์ดปาร์ตี้,คำตามหลักนิยม
1391,third party access framework guideline,เทิร์ดปาร์ตี้แอกเซสเฟรมเวิร์กไกด์ไลน์,คำตามหลักนิยม
1392,third party payment,เทิร์ดปาร์ตี้เพย์เมนต์,คำตามหลักนิยม
1393,three dimension,ทรีไดเมนชัน,
1394,TIIS,ทีไอไอเอส,
1395,TikTok,ติ๊กต๊อก,
1396,timeline,ไทม์ไลน์,
1397,Times,ไทมส์,
1398,time to market,ไทม์ทูมาร์เก็ต,
1399,TMS,ทีเอสเอ็ม,
1400,Tobacco,โทแบ็กโค,
1401,Tobacco Research Paper Nicotine,โทแบ็กโครีเซิร์ซเพเปอร์นิโคติน,
1402,TO BE NUMBER ONE,ทูบีนัมเบอร์วัน,
1403,TOD,ทีโอดี,
1404,Together,ทูเกเทอร์,
1405,Tohoku,โทโอกุ,
1406,Token,โทเคน,
1407,top of mind,ท็อปออฟไมนด์,
1408,TOR,ทีโออาร์,
1409,tornado,ทอร์เนโด,
1410,total saving,โททัลเซฟวิง,
1411,tour,ทัวร์,
1412,tourism,ทัวริซึม,
1413,Tourist,ทัวริสต์,
1414,tournament,ทัวร์นาเมนต์,
1415,Tower and Tourism Development Index,ทาวเวอร์แอนด์ทัวริซึมดิเวล็อปเมนต์อินเด็กซ์,
1416,townhouse,ทาวน์เฮาส์,
1417,toy pot,ทอยพ็อต,
1418,TPA Code for LNG Terminal,ทีพีเอโคดฟอร์แอลเอ็นจีเทอร์มินัล,
1419,TP Channel,ทีพีแชนเนล,
1420,traceability,เทรซอะบิลิตี,
1421,trace back,เทรซแบก,
1422,traditional media,เทรดิชันนัลมีเดีย,
1423,traffic,แทรฟฟิก,
1424,Traffy Fondue,ทราฟฟี่ฟองดูว์,
1425,trailer,เทรลเลอร์,
1426,train,เทรน,
1427,trainer,เทรนเนอร์,
1428,training,เทรนนิง,
1429,transaction,ทรานแซกชัน,
1430,transform,ทรานส์ฟอร์ม,
1431,transition period,ทรานซิชันพีเรียด,
1432,transnational repression,ทรานแนชันนัลรีเพรสชัน,
1433,transnational transfer,ทรานแนชันนัลทรานส์เฟอร์,
1434,transparency,ทรานสแปเรนซี,
1435,Transparency International,ทรานสแปเรนซีอินเตอร์แนชันนัล,
1436,Transportation,ทรานสปอร์เทชัน,
1437,transportation authority,ทรานสปอร์เทชันออทอริตี,
1438,Transport Safety Management,ทรานสปอร์ตเซฟแมเนจเมนต์,
1439,transshipment,ทรานส์ชิปเมนต์,
1440,treaty of immunity,ทรีตีออฟอิมมิวนิตี,
1441,trend,เทรนด์,
1442,Trichoderma,ไตรโคเดอร์มา,
1443,trip,ทริป,
1444,True Global Pollutant,ทรูโกลบัลโพลูทันต์,
1445,TSO regulatory framework,ทีเอสโอเรกิวลาทอรีเฟรมเวิร์ก,
1446,TTA,ทีทีเอ,
1447,T-VER,ที-เวอร์,
1448,twitter,ทวิตเตอร์,
1449,two ways communication,ทูเวย์คอมมิวนิเคชัน,
1450,UAV,ยูเอวี,
1451,Udornmeanchey,อุดรมีชัย,
1452,ultrasound,อัลตราซาวด์,
1453,UN,ยูเอ็น,
1454,uncertainty,อันเซอร์เทนตี,
1455,underserve,อันเดอร์เซิร์ฟ,
1456,undersupply,อันเดอร์ซัปพลาย,
1457,UNHCR,ยูเอ็นเอสซีอาร์,
1458,Universal,ยูนิเวอร์ซัล,
1459,university,ยูนิเวอร์ซิตี,
1460,"University of California, Berkeley",ยูนิเวอร์ซิตี ออฟ แคลิฟอร์เนีย เบิร์กลีย์,
1461,University of London,ยูนิเวอร์ซิตีออฟลอนดอน,
1462,University of Tokyo,ยูนิเวอร์ซิตีออฟโตเกียว,
1463,UNSCR,ยูเอ็นเอสซีอาร์,
1464,untraceable,อันเทรซอะเบิล,
1465,update,อัปเดต,
1466,upgrade,อัปเกรด,
1467,upskill,อัปสกิล,
1468,Urban,เออร์บัน,
1469,US,ยูเอส,
1470,USAID,ยูเซด,
1471,user,ยูสเซอร์,
1472,USO,ยูโซ,
1473,USO NET,ยูโซเน็ต,
1474,utility green tariff,ยูทิลิตีกรีนแทรีฟ,
1475,u-turn,ยูเทิร์น,
1476,UV-C,ยูวี-ซี,
1477,Valley,แวลลีย์,
1478,value added,แวลูแอดเด็ด,
1479,variety,วาไรตี,
1480,VAT,แวต,ศัพท์บัญญัติ
1481,VDO Call,วิดีโอคอล,
1482,vendor,เวนเดอร์,
1483,venture capital,เวนเชอร์แคพิทัล,
1484,version,เวอร์ชัน,
1485,victim,วิกทิม,
1486,video call,วิดีโอคอล,
1487,viewer,วิวเวอร์,
1488,violent center,ไวโอเลนซ์เซนเตอร์,
1489,viral,ไวรัล,
1490,virtual,เวอร์ชวล,
1491,Virtual Reality,เวอร์ชวลเรียลลิตี,
1492,visa,วีซา,
1493,Visa on Arrival,วีซาออนอาร์ไรวัล,
1494,visa sanction,วีซาแซงก์ชัน,
1495,Visa Schengen,วีซาเชงเกน,
1496,visibility,วิซิบิลิตี,
1497,volume,วอลูม,
1498,Volvo,วอลโว,
1499,vote,โหวต,พจนานุกรม
1500,vote mater,โหวตเมเตอร์,
1501,voter,โหวตเตอร์,
1502,waive,เวฟ,
1503,walk-in,วอล์กอิน,
1504,walking street,วอล์กกิงสตรีต,
1505,wallet,วอลเล็ต,
1506,ward,วอร์ด,
1507,warm,วอร์ม,
1508,warning,วอร์นนิง,
1509,Warning,วอร์นิง,
1510,warning system,วอร์นนิงซิสเต็ม,
1511,war room,วอร์รูม,
1512,Waseda,วาเซดะ,
1513,Waterfront,วอเตอร์ฟรอนต์,
1514,Web Application,เว็บแอปพลิเคชัน,
1515,webinar,เวบินาร์,
1516,website,เว็บไซต์,
1517,wellness,เวลล์เนสส์,
1518,What does the evidence,วอตดาสดิเอวิเดนซ์,
1519,wheelchair,วีลแชร์,
1520,wheeling charge,วีลลิงชาร์จ,
1521,whip,วิป,
1522,WHO,ดับเบิลยูเอชโอ,
1523,Wholesale Bank,โฮลเซลแบงก์,
1524,WiFi,วายฟาย,
1525,Win Win,วินวิน,
1526,Wireless,ไวร์เลส,
1527,With great power comes great responsibility,วิทเกรตพาวเวอร์คัมส์เกรตเรสปอนซิบิลิตี,
1528,woodball,วูดบอล,
1529,work,เวิร์ก,
1530,Work and Holiday Visa,เวิร์กแอนด์ฮอลิเดย์วีซา,
1531,work life balance,เวิร์กไลฟ์บาลานซ์,
1532,work permit,เวิร์กเพอร์มิต,
1533,workshop,เวิร์กช็อป,
1534,world disruption,เวิลด์ดิสรัปชัน,
1535,World Economic Forum,เวิลด์อีคอนอมิกฟอรัม,
1536,world ranking,เวิลด์แรงกิง,
1537,World Wide Web,เวิลด์ไวด์เว็บ,
1538,worm,เวิร์ม,
1539,worst case,เวิสต์เคส,
1540,WTO,ดับเบิลยูทีโอ,
1541,www.erc.or.th,เวิล์ดไวด์เว็บดอตอีอาร์ซีดอตโออาร์ดอตทีเอช,
1542,www.gprocurement.go.th,เวิลด์ไวด์เว็บจีโพรเคียวร์เมนต์ดอตทีเอช,
1543,www.kpi.ac.th,เวิลด์ไวด์เว็บดอตเคพีไอดอตเอซีดอตทีเอช,
1544,www.nacc.go.th,ดับเบิลยูดับเบิลยูดับเบิลยูดอตเอ็นเอซีซีดอตจีโอดอตทีเอช,
1545,www.ombudsman.go.th,เวิล์ดไวด์เว็บดอตออมบุดส์มันดอตจีโอดอตทีเอช,
1546,xerox,ซีร็อกซ์,
1547,x-ray,เอกซเรย์,พจนานุกรม
1548,Yayasan Consumer Association Of Indonesia,ยายาซังคอนซูเมอร์แอสโซซิเอชันออฟอินโดนีเซีย,
1549,year on year,เยียร์ออนเยียร์,
1550,yes,เยส,
1551,Yield,ยีลด์,
1552,you,ยู,
1553,YouTube,ยูทูบ,
1554,Youtuber,ยูทูบเบอร์,
1555,zero,ซีโร,
1556,zero waste,ซีโรเวสต์,
1557,zomby,ซอมบี้,
1558,zone,โซน,
1559,zone C,โซนซี,
1560,zoning,โซนนิง,
1561,zoom,ซูม,
1562,TRUE,ทรู,
